(0, 0, 0)
(105, 105, 105)
(128, 128, 128)
(211, 211, 211)
(255, 255, 255)
(128, 0, 0)
(255, 0, 0)
(255, 99, 71)
(255, 69, 0)
(255, 165, 0)
(255, 215, 0)
(255, 255, 0)
(128, 128, 0)
(0, 255, 0)
(0, 128, 0)
(0, 100, 0)
(0, 128, 128)
(0, 255, 255)
(0, 255, 255)
(0, 139, 139)
(0, 191, 255)
(30, 144, 255)
(65, 105, 225)
(0, 0, 255)
(0, 0, 205)
(0, 0, 139)
(75, 0, 130)
(128, 0, 128)
(139, 0, 139)
(255, 0, 255)
(238, 130, 238)
(218, 112, 214)
(221, 160, 221)
(186, 85, 211)
(147, 112, 219)
(106, 90, 205)
(72, 61, 139)
(230, 230, 250)
(245, 245, 220)
(210, 180, 140)
(210, 105, 30)
(139, 69, 19)
(160, 82, 45)
(165, 42, 42)
(178, 34, 34)
(255, 160, 122)
(250, 128, 114)
(255, 127, 80)
(255, 140, 0)
(255, 190, 0)
(124, 252, 0)
(127, 255, 0)
(0, 255, 127)
(60, 179, 113)
(46, 139, 87)
(85, 107, 47)
