(255, 0, 0)
(177, 139, 182)
(128, 128, 255)
(136, 247, 191)
(140, 135, 248)
(137, 177, 245)
(154, 228, 184)
(147, 236, 149)
(153, 230, 205)
(198, 183, 200)
(150, 233, 191)
(157, 254, 129)
(155, 227, 211)
(217, 165, 218)
(231, 243, 139)
(242, 252, 131)
(250, 163, 133)
(255, 128, 128)
(217, 166, 166)
(214, 200, 169)
(206, 176, 201)
(255, 128, 147)
(217, 206, 166)
(219, 164, 219)
(140, 242, 186)
(210, 148, 235)
(236, 139, 243)
(254, 129, 251)
(250, 133, 176)
(120, 219, 102)
(131, 77, 244)
(111, 84, 237)
(101, 122, 220)
(147, 122, 199)
(151, 133, 188)
(151, 146, 175)
(244, 210, 77)
(236, 206, 85)
(226, 193, 95)
(217, 177, 104)
(207, 180, 114)
(194, 167, 126)
